,title,price,link
0,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1Yr ADP Free/Alexa built-in/3 mon. Game Pass/Grey/1.37Kg), 83EQ005VIN  ","53,880",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNTgwOTE1Njg0NTgzOTU1OjE3MjY0NzkwMzA6c3BfYXRmOjMwMDIzMjE3Nzg5MjEzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-35-5cm-83EQ005VIN%2Fdp%2FB0D6MPVN7B%2Fref%3Dsr_1_1_sspa%3Fcrid%3DI0SZFAOA7OLD%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TGiKFHPBc5kv8MaX1n9XES5UphSgxH2HIqEAjIbfvzgwXR5XWXwaErW4goFGoWUUjn5Oae11Hd0gJ80kB4NPRuvo8N9OwbHpskqzjUCfWKQWrWg7BAGYsk-WSYjo4JR6a2x5IqGuESjaYB37P-AvdXzZhuUXGRmhH-LcLPgLhmkZQT8YZYPa4d1Z-uhwANOcgKZSHgUIlGv3GQ4BQvCte7Q.1uf5_WbTCr9RSHBTxcukv2Ybe1gtdaeMMgduEhRrpF4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726479030%26sprefix%3Dlapto%252Caps%252C203%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Lenovo IdeaPad Flex 5 12th Gen Intel Core i5-1235U 14""(35.56cm) WUXGA IPS 2-in-1 Laptop (16GB/512GB SSD/Win 11/Office 21/Backlit KB/Fingerprint/FHD Camera/Alexa/3 mon Game Pass/Grey/1.5Kg), 82R700JJIN  ","62,991",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNTgwOTE1Njg0NTgzOTU1OjE3MjY0NzkwMzA6c3BfYXRmOjIwMTY0NDM1Mzg3OTk4OjowOjo&url=%2FLenovo-IdeaPad-i5-1235U-Fingerprint-82R70069IN%2Fdp%2FB0B7RZCVLC%2Fref%3Dsr_1_2_sspa%3Fcrid%3DI0SZFAOA7OLD%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TGiKFHPBc5kv8MaX1n9XES5UphSgxH2HIqEAjIbfvzgwXR5XWXwaErW4goFGoWUUjn5Oae11Hd0gJ80kB4NPRuvo8N9OwbHpskqzjUCfWKQWrWg7BAGYsk-WSYjo4JR6a2x5IqGuESjaYB37P-AvdXzZhuUXGRmhH-LcLPgLhmkZQT8YZYPa4d1Z-uhwANOcgKZSHgUIlGv3GQ4BQvCte7Q.1uf5_WbTCr9RSHBTxcukv2Ybe1gtdaeMMgduEhRrpF4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726479030%26sprefix%3Dlapto%252Caps%252C203%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"MSI Thin 15, Intel Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B13UCX-1808IN  ","53,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyNTgwOTE1Njg0NTgzOTU1OjE3MjY0NzkwMzA6c3BfbXRmOjMwMDMyNTEzMTM3NzEzMjo6MDo6&url=%2FMSI-i5-13420H-Windows-GeForce-B13UCX-1808IN%2Fdp%2FB0CV9JXPB5%2Fref%3Dsr_1_11_sspa%3Fcrid%3DI0SZFAOA7OLD%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TGiKFHPBc5kv8MaX1n9XES5UphSgxH2HIqEAjIbfvzgwXR5XWXwaErW4goFGoWUUjn5Oae11Hd0gJ80kB4NPRuvo8N9OwbHpskqzjUCfWKQWrWg7BAGYsk-WSYjo4JR6a2x5IqGuESjaYB37P-AvdXzZhuUXGRmhH-LcLPgLhmkZQT8YZYPa4d1Z-uhwANOcgKZSHgUIlGv3GQ4BQvCte7Q.1uf5_WbTCr9RSHBTxcukv2Ybe1gtdaeMMgduEhRrpF4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1726479030%26sprefix%3Dlapto%252Caps%252C203%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+, Thin & Light Laptop (16GB/1TB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg), X1605VA-MB957WS  ","89,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB957WS/dp/B0CHMXTF6S/ref=sr_1_77?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.6dxdWGc71PvxUm_AvYvCDdD5PDz_X4eyVDeP5PNLKMSbRxJaN5YbM_HjW3-bfwpCH9CVxqkTI8WtKen0uotaLOZ62CVG_qXpkS5KXap0ZZXkdsPbl5PgRTKkEQpA5oUZe_OhHf4VWXN1pgwvIpOunF4s0AZBspKjVNjZggUDCK6VNlw8ZKGk4-iNUJZYSTsp2aXx8hhD87B3IBLsoPhP3EuWj-Lqpn7jxTcvFTApvaw.NjTWrpAiecb1g3GAo_kQONP8hmUwP3wJi-2wzuTVGak&dib_tag=se&keywords=laptop&qid=1726479048&sprefix=lapto%2Caps%2C203&sr=8-77
4,"(Refurbished) Dell Latitude 5270 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/12.3"" (31.8 cm) HD/Windows 11/MS Office/WiFi/BT/Intel UHD Graphics)  ","14,390",https://amazon.in//Refurbished-Dell-Latitude-Windows-Graphics/dp/B0D8BGMLGH/ref=sr_1_79?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.6dxdWGc71PvxUm_AvYvCDdD5PDz_X4eyVDeP5PNLKMSbRxJaN5YbM_HjW3-bfwpCH9CVxqkTI8WtKen0uotaLOZ62CVG_qXpkS5KXap0ZZXkdsPbl5PgRTKkEQpA5oUZe_OhHf4VWXN1pgwvIpOunF4s0AZBspKjVNjZggUDCK6VNlw8ZKGk4-iNUJZYSTsp2aXx8hhD87B3IBLsoPhP3EuWj-Lqpn7jxTcvFTApvaw.NjTWrpAiecb1g3GAo_kQONP8hmUwP3wJi-2wzuTVGak&dib_tag=se&keywords=laptop&qid=1726479048&sprefix=lapto%2Caps%2C203&sr=8-79
5,"ASUS Vivobook Go 15 (2023), Intel Core i3-N305, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Backlit KB/Silver/1.63 kg), E1504GA-NJ321WS  ","33,430",https://amazon.in//ASUS-Vivobook-Integrated-Graphics-E1504GA-NJ321WS/dp/B0C1GGZYS5/ref=sr_1_80?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.6dxdWGc71PvxUm_AvYvCDdD5PDz_X4eyVDeP5PNLKMSbRxJaN5YbM_HjW3-bfwpCH9CVxqkTI8WtKen0uotaLOZ62CVG_qXpkS5KXap0ZZXkdsPbl5PgRTKkEQpA5oUZe_OhHf4VWXN1pgwvIpOunF4s0AZBspKjVNjZggUDCK6VNlw8ZKGk4-iNUJZYSTsp2aXx8hhD87B3IBLsoPhP3EuWj-Lqpn7jxTcvFTApvaw.NjTWrpAiecb1g3GAo_kQONP8hmUwP3wJi-2wzuTVGak&dib_tag=se&keywords=laptop&qid=1726479048&sprefix=lapto%2Caps%2C203&sr=8-80
6,"ASUS Vivobook 15 Thin and Light Laptop,Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, (16GB RAM/512GB/Win11/Office 2021/Blue/1.7 kg), X1502ZA-EJ541WS  ","51,990",https://amazon.in//ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ541WS/dp/B0C7H6SSC8/ref=sr_1_81?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.6dxdWGc71PvxUm_AvYvCDdD5PDz_X4eyVDeP5PNLKMSbRxJaN5YbM_HjW3-bfwpCH9CVxqkTI8WtKen0uotaLOZ62CVG_qXpkS5KXap0ZZXkdsPbl5PgRTKkEQpA5oUZe_OhHf4VWXN1pgwvIpOunF4s0AZBspKjVNjZggUDCK6VNlw8ZKGk4-iNUJZYSTsp2aXx8hhD87B3IBLsoPhP3EuWj-Lqpn7jxTcvFTApvaw.NjTWrpAiecb1g3GAo_kQONP8hmUwP3wJi-2wzuTVGak&dib_tag=se&keywords=laptop&qid=1726479048&sprefix=lapto%2Caps%2C203&sr=8-81
7,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Touchscreen Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/WiFi/Bluetooth 4.1/Webcam/Integrated HD Graphics)  ","16,599",https://amazon.in//Refurbished-Lenovo-Touchscreen-Bluetooth-Integrated/dp/B0D33MQ8F1/ref=sr_1_82?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.6dxdWGc71PvxUm_AvYvCDdD5PDz_X4eyVDeP5PNLKMSbRxJaN5YbM_HjW3-bfwpCH9CVxqkTI8WtKen0uotaLOZ62CVG_qXpkS5KXap0ZZXkdsPbl5PgRTKkEQpA5oUZe_OhHf4VWXN1pgwvIpOunF4s0AZBspKjVNjZggUDCK6VNlw8ZKGk4-iNUJZYSTsp2aXx8hhD87B3IBLsoPhP3EuWj-Lqpn7jxTcvFTApvaw.NjTWrpAiecb1g3GAo_kQONP8hmUwP3wJi-2wzuTVGak&dib_tag=se&keywords=laptop&qid=1726479048&sprefix=lapto%2Caps%2C203&sr=8-82
8,"HP Pavilion 15, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 1TB SSD, AMD Radeon Graphics, FPR, 720p HD Camera, Backlit KB, Audio by B&O (Win 11, MSO 2021, Silver, 1.75 kg), eh1147AU  ","59,990",https://amazon.in//HP-Pavilion-15-6-inch-graphics-eh1147AU/dp/B0CTHYJH41/ref=sr_1_83?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.6dxdWGc71PvxUm_AvYvCDdD5PDz_X4eyVDeP5PNLKMSbRxJaN5YbM_HjW3-bfwpCH9CVxqkTI8WtKen0uotaLOZ62CVG_qXpkS5KXap0ZZXkdsPbl5PgRTKkEQpA5oUZe_OhHf4VWXN1pgwvIpOunF4s0AZBspKjVNjZggUDCK6VNlw8ZKGk4-iNUJZYSTsp2aXx8hhD87B3IBLsoPhP3EuWj-Lqpn7jxTcvFTApvaw.NjTWrpAiecb1g3GAo_kQONP8hmUwP3wJi-2wzuTVGak&dib_tag=se&keywords=laptop&qid=1726479048&sprefix=lapto%2Caps%2C203&sr=8-83
9,"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray  ","43,990",https://amazon.in//MagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard/dp/B0CRQB4HBP/ref=sr_1_84?crid=I0SZFAOA7OLD&dib=eyJ2IjoiMSJ9.6dxdWGc71PvxUm_AvYvCDdD5PDz_X4eyVDeP5PNLKMSbRxJaN5YbM_HjW3-bfwpCH9CVxqkTI8WtKen0uotaLOZ62CVG_qXpkS5KXap0ZZXkdsPbl5PgRTKkEQpA5oUZe_OhHf4VWXN1pgwvIpOunF4s0AZBspKjVNjZggUDCK6VNlw8ZKGk4-iNUJZYSTsp2aXx8hhD87B3IBLsoPhP3EuWj-Lqpn7jxTcvFTApvaw.NjTWrpAiecb1g3GAo_kQONP8hmUwP3wJi-2wzuTVGak&dib_tag=se&keywords=laptop&qid=1726479048&sprefix=lapto%2Caps%2C203&sr=8-84
